Distance (µm),C Kα1_2 (counts),
0,1049,
0.163242245454834,1045,
0.326484490909669,1038,
0.489726736364503,1026,
0.652968981819339,1039,
0.816211227274173,1079,
0.979453472729007,1002,
1.14269571818384,1054,
1.30593796363868,1038,
1.46918020909351,1068,
1.63242245454835,964,
1.79566470000318,1033,
1.958906945458,1077,
2.12214919091283,1087,
2.28539143636766,1011,
2.4486336818225,991,
2.61187592727733,1017,
2.77511817273217,1032,
2.938360418187,1014,
3.10160266364184,1018,
3.26484490909667,1017,
3.42808715455151,998,
3.59132940000634,1023,
3.75457164546118,965,
3.91781389091601,1031,
4.08105613637084,969,
4.24429838182568,1004,
4.40754062728051,1024,
4.57078287273535,986,
4.73402511819018,971,
4.89726736364502,1019,
5.06050960909985,968,
5.22375185455469,975,
5.38699410000952,997,
5.55023634546434,1049,
5.71347859091917,964,
5.87672083637401,1018,
6.03996308182884,987,
6.20320532728367,1038,
6.36644757273851,1019,
6.52968981819334,1038,
6.69293206364818,1001,
6.85617430910301,977,
7.01941655455785,959,
7.18265880001268,992,
7.34590104546752,1020,
7.50914329092235,1040,
7.67238553637719,1047,
7.83562778183202,1056,
7.99887002728685,992,
8.16211227274169,1026,
8.32535451819652,1028,
8.48859676365136,1015,
8.65183900910619,1089,
8.81508125456103,1016,
8.97832350001586,1044,
9.1415657454707,1047,
9.30480799092551,1015,
9.46805023638035,1021,
9.63129248183518,941,
9.79453472729002,1039,
9.95777697274485,1019,
10.1210192181997,1012,
10.2842614636545,1004,
10.4475037091094,976,
10.6107459545642,1028,
10.773988200019,1018,
10.9372304454739,1012,
11.1004726909287,961,
11.2637149363835,1001,
11.4269571818384,977,
11.5901994272932,988,
11.753441672748,963,
11.9166839182029,1077,
12.0799261636577,949,
12.2431684091125,1026,
12.4064106545674,1019,
12.5696529000222,1069,
12.732895145477,1051,
12.8961373909319,1030,
13.0593796363867,1037,
13.2226218818415,1054,
13.3858641272964,1046,
13.5491063727512,997,
13.712348618206,1026,
13.8755908636609,1024,
14.0388331091157,953,
14.2020753545705,999,
14.3653176000254,971,
14.5285598454802,983,
14.691802090935,1001,
14.8550443363899,1019,
15.0182865818447,1046,
15.1815288272995,991,
15.3447710727544,1033,
15.5080133182092,1023,
15.671255563664,1031,
15.8344978091189,1045,
15.9977400545737,1007,
16.1609823000285,1006,
16.3242245454834,995,
16.4874667909382,989,
16.650709036393,1027,
16.8139512818479,1037,
16.9771935273027,1035,
17.1404357727575,1030,
17.3036780182124,966,
17.4669202636672,1019,
17.630162509122,1056,
17.7934047545769,1054,
17.9566470000317,1016,
18.1198892454865,990,
18.2831314909414,988,
18.4463737363962,1037,
18.609615981851,1019,
18.7728582273059,999,
18.9361004727607,973,
19.0993427182155,1003,
19.2625849636704,999,
19.4258272091252,1000,
19.5890694545801,1017,
19.7523117000349,1019,
19.9155539454897,992,
20.0787961909446,1020,
20.2420384363994,1065,
20.4052806818542,1037,
20.568522927309,1008,
20.7317651727639,1012,
20.8950074182187,1043,
21.0582496636735,991,
21.2214919091284,1040,
21.3847341545832,983,
21.547976400038,1035,
21.7112186454929,1009,
21.8744608909477,1013,
22.0377031364026,1023,
22.2009453818574,1013,
22.3641876273122,993,
22.5274298727671,979,
22.6906721182219,1015,
22.8539143636767,1029,
23.0171566091316,1057,
23.1803988545864,997,
23.3436411000412,966,
23.5068833454961,1036,
23.6701255909509,936,
23.8333678364057,993,
23.9966100818605,966,
24.1598523273154,1003,
24.3230945727702,1019,
24.4863368182251,1039,
24.6495790636799,997,
24.8128213091347,968,
24.9760635545896,1017,
25.1393058000444,1005,
25.3025480454992,1025,
25.4657902909541,1010,
25.6290325364089,1022,
25.7922747818637,981,
25.9555170273186,1053,
26.1187592727734,993,
26.2820015182282,1023,
26.4452437636831,1016,
26.6084860091379,995,
26.7717282545927,1010,
26.9349705000476,998,
27.0982127455024,934,
27.2614549909572,983,
27.4246972364121,1022,
27.5879394818669,989,
27.7511817273217,973,
27.9144239727766,1001,
28.0776662182314,940,
28.2409084636862,971,
28.4041507091411,935,
28.5673929545959,946,
28.7306352000507,953,
28.8938774455056,989,
29.0571196909604,988,
29.2203619364152,1022,
29.3836041818701,1026,
29.5468464273249,973,
29.7100886727797,956,
29.8733309182346,965,
30.0365731636894,940,
30.1998154091442,952,
30.3630576545991,1026,
30.5262999000539,924,
30.6895421455087,956,
30.8527843909636,1032,
31.0160266364184,1034,
31.1792688818732,972,
31.3425111273281,968,
31.5057533727829,1044,
31.6689956182378,981,
31.8322378636926,1068,
31.9954801091474,1018,
32.1587223546022,963,
32.3219646000571,1003,
32.4852068455119,1000,
32.6484490909667,1023,
32.8116913364216,1031,
32.9749335818764,947,
33.1381758273312,1028,
33.3014180727861,1034,
33.4646603182409,1024,
33.6279025636957,1017,
33.7911448091506,980,
33.9543870546054,977,
34.1176293000603,1014,
34.2808715455151,982,
34.4441137909699,994,
34.6073560364247,1039,
34.7705982818796,1019,
34.9338405273344,1002,
35.0970827727893,963,
35.2603250182441,976,
35.4235672636989,1069,
35.5868095091537,1038,
35.7500517546086,1029,
35.9132940000634,993,
36.0765362455182,1020,
36.2397784909731,1016,
36.4030207364279,977,
36.5662629818828,1023,
36.7295052273376,991,
36.8927474727924,982,
37.0559897182473,1062,
37.2192319637021,1020,
37.3824742091569,1016,
37.5457164546118,1003,
37.7089587000666,1072,
37.8722009455214,1038,
38.0354431909763,1059,
38.1986854364311,1000,
38.3619276818859,1004,
38.5251699273408,1006,
38.6884121727956,968,
38.8516544182504,1025,
39.0148966637053,1063,
39.1781389091601,1017,
39.3413811546149,1007,
39.5046234000698,1021,
39.6678656455246,1005,
39.8311078909794,1001,
39.9943501364343,973,
40.1575923818891,987,
40.3208346273439,1063,
40.4840768727988,1067,
40.6473191182536,1006,
40.8105613637084,1008,
40.9738036091633,1046,
41.1370458546181,1076,
41.3002881000729,973,
41.4635303455278,1064,
41.6267725909826,1015,
41.7900148364374,998,
41.9532570818923,969,
42.1164993273471,940,
42.2797415728019,981,
42.4429838182567,1005,
42.6062260637116,1026,
42.7694683091664,974,
42.9327105546213,1037,
43.0959528000761,1009,
43.2591950455309,1085,
43.4224372909858,1002,
43.5856795364406,1043,
43.7489217818954,999,
43.9121640273503,1034,
44.0754062728051,1040,
44.2386485182599,1009,
44.4018907637148,993,
44.5651330091696,1030,
44.7283752546244,987,
44.8916175000793,1082,
45.0548597455341,1025,
45.2181019909889,1051,
45.3813442364438,1093,
45.5445864818986,1015,
45.7078287273534,997,
45.8710709728083,1065,
46.0343132182631,1074,
46.1975554637179,1009,
46.3607977091728,1044,
46.5240399546276,1019,
46.6872822000824,1074,
46.8505244455373,1013,
47.0137666909921,1077,
47.1770089364469,978,
47.3402511819018,1030,
47.5034934273566,1047,
47.6667356728115,988,
47.8299779182663,1011,
47.9932201637211,1011,
48.1564624091759,1082,
48.3197046546308,1005,
48.4829469000856,1004,
48.6461891455405,1007,
48.8094313909953,1073,
48.9726736364501,1045,
49.1359158819049,1057,
49.2991581273598,1037,
49.4624003728146,1071,
49.6256426182695,1005,
49.7888848637243,1051,
49.9521271091791,1000,
50.1153693546339,980,
50.2786116000888,970,
50.4418538455436,1052,
50.6050960909984,1072,
50.7683383364533,1029,
50.9315805819081,1100,
51.094822827363,1057,
51.2580650728178,1115,
51.4213073182726,1090,
51.5845495637274,1067,
51.7477918091823,1008,
51.9110340546371,1016,
52.074276300092,1098,
52.2375185455468,1078,
52.4007607910016,1017,
52.5640030364565,1042,
52.7272452819113,1025,
52.8904875273661,1040,
53.0537297728209,1025,
53.2169720182758,1003,
53.3802142637306,991,
53.5434565091855,1009,
53.7066987546403,1022,
53.8699410000951,1008,
54.0331832455499,1027,
54.1964254910048,953,
54.3596677364596,961,
54.5229099819145,1008,
54.6861522273693,1025,
54.8493944728241,1026,
55.012636718279,985,
55.1758789637338,1083,
55.3391212091886,980,
55.5023634546435,997,
55.6656057000983,1015,
55.8288479455531,1041,
55.992090191008,989,
56.1553324364628,1004,
56.3185746819176,1015,
56.4818169273725,1010,
56.6450591728273,1020,
56.8083014182821,1081,
56.971543663737,992,
57.1347859091918,992,
57.2980281546466,1047,
57.4612704001015,1000,
57.6245126455563,1013,
57.7877548910111,995,
57.950997136466,1062,
58.1142393819208,1098,
58.2774816273756,1087,
58.4407238728305,977,
58.6039661182853,1044,
58.7672083637401,994,
58.930450609195,1097,
59.0936928546498,1073,
59.2569351001046,1119,
59.4201773455595,1059,
59.5834195910143,1032,
59.7466618364691,979,
59.909904081924,1035,
60.0731463273788,1080,
60.2363885728336,1062,
60.3996308182885,1074,
60.5628730637433,1029,
60.7261153091981,1036,
60.889357554653,1065,
61.0525998001078,1058,
61.2158420455626,1046,
61.3790842910175,1012,
61.5423265364723,1009,
61.7055687819271,965,
61.868811027382,1060,
62.0320532728368,1028,
62.1952955182916,1016,
62.3585377637465,1086,
62.5217800092013,1044,
62.6850222546561,1036,
62.848264500111,1023,
63.0115067455658,1004,
63.1747489910206,1071,
63.3379912364755,1106,
63.5012334819303,1044,
63.6644757273851,1107,
63.82771797284,1032,
63.9909602182948,1018,
64.1542024637496,1056,
64.3174447092045,1087,
64.4806869546593,1125,
64.6439292001141,1085,
64.807171445569,1060,
64.9704136910238,1060,
65.1336559364787,1009,
65.2968981819335,1030,
65.4601404273883,1058,
65.6233826728431,1064,
65.786624918298,1062,
65.9498671637528,1054,
66.1131094092077,1028,
66.2763516546625,945,
66.4395939001173,991,
66.6028361455722,1012,
66.766078391027,1017,
66.9293206364818,1017,
67.0925628819367,1033,
67.2558051273915,1058,
67.4190473728463,1069,
67.5822896183012,993,
67.745531863756,1022,
67.9087741092108,1025,
68.0720163546656,991,
68.2352586001205,1059,
68.3985008455753,1100,
68.5617430910302,1051,
68.724985336485,1032,
68.8882275819398,1066,
69.0514698273947,1024,
69.2147120728495,1028,
69.3779543183043,1041,
69.5411965637592,957,
69.704438809214,973,
69.8676810546688,1059,
70.0309233001237,1049,
70.1941655455785,1005,
70.3574077910333,1004,
70.5206500364882,1073,
70.683892281943,1043,
70.8471345273978,1042,
71.0103767728527,1023,
71.1736190183075,1019,
71.3368612637623,1024,
71.5001035092172,984,
71.663345754672,1055,
71.8265880001268,1019,
71.9898302455817,1054,
72.1530724910365,1057,
72.3163147364913,1108,
72.4795569819461,1038,
72.642799227401,1066,
72.8060414728558,1046,
72.9692837183107,1015,
73.1325259637655,1015,
73.2957682092203,1027,
73.4590104546752,992,
73.62225270013,1026,
73.7854949455848,1015,
73.9487371910397,1055,
74.1119794364945,1006,
74.2752216819493,1051,
74.4384639274042,1079,
74.601706172859,1054,
74.7649484183138,1040,
74.9281906637687,1049,
75.0914329092235,1005,
75.2546751546784,1065,
75.4179174001332,1054,
75.581159645588,1049,
75.7444018910428,1002,
75.9076441364977,1029,
76.0708863819525,1061,
76.2341286274073,1005,
76.3973708728622,993,
76.560613118317,1031,
76.7238553637718,1048,
76.8870976092267,1015,
77.0503398546815,1038,
77.2135821001363,1023,
77.3768243455912,992,
77.540066591046,1013,
77.7033088365009,1068,
77.8665510819557,1018,
78.0297933274105,1040,
78.1930355728653,1036,
78.3562778183202,1027,
78.519520063775,1010,
78.6827623092298,1033,
78.8460045546847,1076,
79.0092468001395,1065,
79.1724890455943,989,
79.3357312910492,1068,
79.498973536504,1059,
79.6622157819588,1064,
79.8254580274137,1079,
79.9887002728685,1013,
80.1519425183234,1082,
80.3151847637782,1049,
80.478427009233,1012,
80.6416692546879,1016,
80.8049115001427,1047,
80.9681537455975,999,
81.1313959910523,1030,
81.2946382365072,982,
81.457880481962,1070,
