Distance (µm),Si Kα1 (counts),
0,16283,
0.163242245454834,16531,
0.326484490909669,17022,
0.489726736364503,17176,
0.652968981819339,17190,
0.816211227274173,17314,
0.979453472729007,17206,
1.14269571818384,17413,
1.30593796363868,17098,
1.46918020909351,17378,
1.63242245454835,17323,
1.79566470000318,17342,
1.958906945458,17301,
2.12214919091283,17203,
2.28539143636766,17220,
2.4486336818225,17162,
2.61187592727733,17223,
2.77511817273217,17560,
2.938360418187,17286,
3.10160266364184,17279,
3.26484490909667,17508,
3.42808715455151,17235,
3.59132940000634,17357,
3.75457164546118,17411,
3.91781389091601,17477,
4.08105613637084,17223,
4.24429838182568,17248,
4.40754062728051,17239,
4.57078287273535,17208,
4.73402511819018,17480,
4.89726736364502,17398,
5.06050960909985,17267,
5.22375185455469,17525,
5.38699410000952,17202,
5.55023634546434,17057,
5.71347859091917,17259,
5.87672083637401,17247,
6.03996308182884,17170,
6.20320532728367,17435,
6.36644757273851,17453,
6.52968981819334,17364,
6.69293206364818,17380,
6.85617430910301,17130,
7.01941655455785,17256,
7.18265880001268,17280,
7.34590104546752,17321,
7.50914329092235,17502,
7.67238553637719,17255,
7.83562778183202,17149,
7.99887002728685,17273,
8.16211227274169,17210,
8.32535451819652,17405,
8.48859676365136,17291,
8.65183900910619,17264,
8.81508125456103,17166,
8.97832350001586,17174,
9.1415657454707,17600,
9.30480799092551,17395,
9.46805023638035,17283,
9.63129248183518,17266,
9.79453472729002,17600,
9.95777697274485,17479,
10.1210192181997,17310,
10.2842614636545,17367,
10.4475037091094,17570,
10.6107459545642,17319,
10.773988200019,17437,
10.9372304454739,17511,
11.1004726909287,17093,
11.2637149363835,17208,
11.4269571818384,17394,
11.5901994272932,17335,
11.753441672748,17398,
11.9166839182029,17303,
12.0799261636577,17389,
12.2431684091125,17433,
12.4064106545674,17252,
12.5696529000222,17380,
12.732895145477,17170,
12.8961373909319,17047,
13.0593796363867,17330,
13.2226218818415,17478,
13.3858641272964,17290,
13.5491063727512,17441,
13.712348618206,17663,
13.8755908636609,17447,
14.0388331091157,17601,
14.2020753545705,17428,
14.3653176000254,17417,
14.5285598454802,17355,
14.691802090935,17374,
14.8550443363899,17714,
15.0182865818447,17453,
15.1815288272995,17552,
15.3447710727544,17469,
15.5080133182092,17409,
15.671255563664,17561,
15.8344978091189,17376,
15.9977400545737,17234,
16.1609823000285,17198,
16.3242245454834,17469,
16.4874667909382,17583,
16.650709036393,17232,
16.8139512818479,17248,
16.9771935273027,17448,
17.1404357727575,17351,
17.3036780182124,17248,
17.4669202636672,17164,
17.630162509122,17283,
17.7934047545769,17190,
17.9566470000317,17475,
18.1198892454865,17293,
18.2831314909414,17279,
18.4463737363962,17354,
18.609615981851,17442,
18.7728582273059,17086,
18.9361004727607,17214,
19.0993427182155,17364,
19.2625849636704,17265,
19.4258272091252,16921,
19.5890694545801,17224,
19.7523117000349,17211,
19.9155539454897,17224,
20.0787961909446,17364,
20.2420384363994,17333,
20.4052806818542,17541,
20.568522927309,17122,
20.7317651727639,17323,
20.8950074182187,17181,
21.0582496636735,17368,
21.2214919091284,17385,
21.3847341545832,17293,
21.547976400038,17256,
21.7112186454929,17078,
21.8744608909477,17387,
22.0377031364026,17246,
22.2009453818574,17289,
22.3641876273122,17105,
22.5274298727671,17321,
22.6906721182219,17366,
22.8539143636767,17460,
23.0171566091316,17264,
23.1803988545864,17318,
23.3436411000412,17416,
23.5068833454961,17308,
23.6701255909509,17328,
23.8333678364057,17449,
23.9966100818605,17329,
24.1598523273154,17590,
24.3230945727702,17477,
24.4863368182251,17404,
24.6495790636799,17345,
24.8128213091347,17491,
24.9760635545896,17638,
25.1393058000444,17355,
25.3025480454992,17479,
25.4657902909541,17389,
25.6290325364089,17583,
25.7922747818637,17435,
25.9555170273186,17630,
26.1187592727734,17557,
26.2820015182282,17620,
26.4452437636831,17586,
26.6084860091379,17429,
26.7717282545927,17546,
26.9349705000476,17651,
27.0982127455024,17417,
27.2614549909572,17408,
27.4246972364121,17686,
27.5879394818669,17549,
27.7511817273217,17163,
27.9144239727766,17346,
28.0776662182314,17390,
28.2409084636862,17379,
28.4041507091411,17441,
28.5673929545959,17397,
28.7306352000507,17449,
28.8938774455056,17370,
29.0571196909604,17338,
29.2203619364152,17394,
29.3836041818701,17295,
29.5468464273249,17645,
29.7100886727797,17532,
29.8733309182346,17449,
30.0365731636894,17337,
30.1998154091442,17508,
30.3630576545991,17455,
30.5262999000539,17632,
30.6895421455087,17394,
30.8527843909636,17554,
31.0160266364184,17286,
31.1792688818732,17269,
31.3425111273281,17498,
31.5057533727829,17593,
31.6689956182378,17258,
31.8322378636926,17439,
31.9954801091474,17351,
32.1587223546022,17463,
32.3219646000571,17396,
32.4852068455119,17416,
32.6484490909667,17492,
32.8116913364216,17219,
32.9749335818764,17573,
33.1381758273312,17556,
33.3014180727861,17737,
33.4646603182409,17414,
33.6279025636957,17189,
33.7911448091506,17676,
33.9543870546054,17331,
34.1176293000603,17506,
34.2808715455151,17642,
34.4441137909699,17534,
34.6073560364247,17752,
34.7705982818796,17540,
34.9338405273344,17746,
35.0970827727893,17576,
35.2603250182441,17589,
35.4235672636989,17405,
35.5868095091537,17610,
35.7500517546086,17314,
35.9132940000634,17224,
36.0765362455182,17175,
36.2397784909731,17270,
36.4030207364279,16942,
36.5662629818828,17161,
36.7295052273376,16975,
36.8927474727924,17242,
37.0559897182473,17288,
37.2192319637021,17430,
37.3824742091569,17514,
37.5457164546118,17557,
37.7089587000666,17572,
37.8722009455214,17527,
38.0354431909763,17274,
38.1986854364311,17234,
38.3619276818859,16838,
38.5251699273408,16773,
38.6884121727956,16884,
38.8516544182504,16893,
39.0148966637053,16600,
39.1781389091601,16806,
39.3413811546149,16855,
39.5046234000698,17096,
39.6678656455246,16980,
39.8311078909794,16755,
39.9943501364343,16854,
40.1575923818891,16651,
40.3208346273439,16994,
40.4840768727988,16986,
40.6473191182536,17094,
40.8105613637084,17188,
40.9738036091633,17291,
41.1370458546181,17236,
41.3002881000729,17032,
41.4635303455278,16648,
41.6267725909826,16205,
41.7900148364374,15620,
41.9532570818923,15988,
42.1164993273471,16654,
42.2797415728019,17046,
42.4429838182567,17167,
42.6062260637116,17254,
42.7694683091664,17368,
42.9327105546213,16896,
43.0959528000761,17155,
43.2591950455309,17289,
43.4224372909858,17385,
43.5856795364406,17350,
43.7489217818954,17159,
43.9121640273503,17061,
44.0754062728051,17153,
44.2386485182599,17438,
44.4018907637148,17314,
44.5651330091696,17354,
44.7283752546244,17163,
44.8916175000793,17252,
45.0548597455341,17102,
45.2181019909889,17345,
45.3813442364438,17011,
45.5445864818986,17153,
45.7078287273534,17320,
45.8710709728083,17407,
46.0343132182631,17230,
46.1975554637179,17290,
46.3607977091728,17496,
46.5240399546276,17455,
46.6872822000824,17384,
46.8505244455373,17359,
47.0137666909921,17346,
47.1770089364469,17427,
47.3402511819018,17129,
47.5034934273566,17338,
47.6667356728115,16988,
47.8299779182663,16929,
47.9932201637211,17345,
48.1564624091759,17117,
48.3197046546308,17082,
48.4829469000856,17339,
48.6461891455405,17025,
48.8094313909953,17190,
48.9726736364501,17203,
49.1359158819049,16993,
49.2991581273598,16717,
49.4624003728146,16304,
49.6256426182695,16210,
49.7888848637243,16006,
49.9521271091791,16408,
50.1153693546339,16577,
50.2786116000888,17037,
50.4418538455436,17251,
50.6050960909984,17299,
50.7683383364533,17360,
50.9315805819081,17262,
51.094822827363,17198,
51.2580650728178,17029,
51.4213073182726,16799,
51.5845495637274,16932,
51.7477918091823,17155,
51.9110340546371,17220,
52.074276300092,17410,
52.2375185455468,17166,
52.4007607910016,17207,
52.5640030364565,17002,
52.7272452819113,17125,
52.8904875273661,16997,
53.0537297728209,17316,
53.2169720182758,17280,
53.3802142637306,17337,
53.5434565091855,17283,
53.7066987546403,17486,
53.8699410000951,17243,
54.0331832455499,17462,
54.1964254910048,17510,
54.3596677364596,17386,
54.5229099819145,17452,
54.6861522273693,17482,
54.8493944728241,17234,
55.012636718279,17288,
55.1758789637338,17317,
55.3391212091886,17126,
55.5023634546435,17215,
55.6656057000983,17442,
55.8288479455531,17127,
55.992090191008,17308,
56.1553324364628,17417,
56.3185746819176,17233,
56.4818169273725,17149,
56.6450591728273,17393,
56.8083014182821,17364,
56.971543663737,17394,
57.1347859091918,17313,
57.2980281546466,17328,
57.4612704001015,17034,
57.6245126455563,17151,
57.7877548910111,17032,
57.950997136466,17021,
58.1142393819208,16962,
58.2774816273756,16983,
58.4407238728305,17120,
58.6039661182853,17038,
58.7672083637401,17272,
58.930450609195,17306,
59.0936928546498,16950,
59.2569351001046,17048,
59.4201773455595,17016,
59.5834195910143,17234,
59.7466618364691,17131,
59.909904081924,17049,
60.0731463273788,17171,
60.2363885728336,17073,
60.3996308182885,17071,
60.5628730637433,16961,
60.7261153091981,17320,
60.889357554653,17232,
61.0525998001078,17272,
61.2158420455626,16987,
61.3790842910175,16889,
61.5423265364723,16979,
61.7055687819271,17250,
61.868811027382,16960,
62.0320532728368,17109,
62.1952955182916,17172,
62.3585377637465,17015,
62.5217800092013,17122,
62.6850222546561,17152,
62.848264500111,17066,
63.0115067455658,16877,
63.1747489910206,16865,
63.3379912364755,17040,
63.5012334819303,17019,
63.6644757273851,17127,
63.82771797284,17002,
63.9909602182948,17096,
64.1542024637496,17195,
64.3174447092045,16946,
64.4806869546593,17096,
64.6439292001141,17125,
64.807171445569,17090,
64.9704136910238,17230,
65.1336559364787,17333,
65.2968981819335,17215,
65.4601404273883,16974,
65.6233826728431,17114,
65.786624918298,16911,
65.9498671637528,16890,
66.1131094092077,16853,
66.2763516546625,16974,
66.4395939001173,17146,
66.6028361455722,16974,
66.766078391027,17221,
66.9293206364818,16952,
67.0925628819367,17195,
67.2558051273915,17307,
67.4190473728463,16904,
67.5822896183012,17242,
67.745531863756,17109,
67.9087741092108,16876,
68.0720163546656,17034,
68.2352586001205,17216,
68.3985008455753,17006,
68.5617430910302,16908,
68.724985336485,16951,
68.8882275819398,17129,
69.0514698273947,16967,
69.2147120728495,17057,
69.3779543183043,17240,
69.5411965637592,17086,
69.704438809214,17031,
69.8676810546688,17164,
70.0309233001237,17103,
70.1941655455785,16957,
70.3574077910333,17046,
70.5206500364882,16994,
70.683892281943,17112,
70.8471345273978,17276,
71.0103767728527,17187,
71.1736190183075,17002,
71.3368612637623,16990,
71.5001035092172,16957,
71.663345754672,16830,
71.8265880001268,16907,
71.9898302455817,17269,
72.1530724910365,16936,
72.3163147364913,16856,
72.4795569819461,16990,
72.642799227401,16830,
72.8060414728558,17025,
72.9692837183107,16956,
73.1325259637655,17107,
73.2957682092203,16695,
73.4590104546752,17024,
73.62225270013,16790,
73.7854949455848,16874,
73.9487371910397,17026,
74.1119794364945,16990,
74.2752216819493,17233,
74.4384639274042,16948,
74.601706172859,17062,
74.7649484183138,17000,
74.9281906637687,17122,
75.0914329092235,17144,
75.2546751546784,17028,
75.4179174001332,16962,
75.581159645588,17283,
75.7444018910428,17038,
75.9076441364977,17264,
76.0708863819525,17111,
76.2341286274073,17015,
76.3973708728622,17119,
76.560613118317,16771,
76.7238553637718,16825,
76.8870976092267,16889,
77.0503398546815,16574,
77.2135821001363,16029,
77.3768243455912,16095,
77.540066591046,16690,
77.7033088365009,16850,
77.8665510819557,16884,
78.0297933274105,16889,
78.1930355728653,16906,
78.3562778183202,17008,
78.519520063775,17097,
78.6827623092298,17299,
78.8460045546847,17055,
79.0092468001395,16553,
79.1724890455943,17104,
79.3357312910492,16975,
79.498973536504,17213,
79.6622157819588,17026,
79.8254580274137,17107,
79.9887002728685,17097,
80.1519425183234,17140,
80.3151847637782,17052,
80.478427009233,16943,
80.6416692546879,17167,
80.8049115001427,17229,
80.9681537455975,17155,
81.1313959910523,17045,
81.2946382365072,17162,
81.457880481962,16945,
